date,code,volume,pctChg,close
2018-07-31,sz.000703,8903717,-0.550460,16.2600
2018-08-01,sz.000703,10274819,-0.492005,16.1800
2018-08-02,sz.000703,15896065,1.421505,16.4100
2018-08-03,sz.000703,21290020,2.925043,16.8900
2018-08-06,sz.000703,29995521,-10.005920,15.2000
2018-08-07,sz.000703,19891727,3.618423,15.7500
2018-08-08,sz.000703,17513817,-6.412700,14.7400
2018-08-09,sz.000703,27546796,7.191319,15.8000
2018-08-10,sz.000703,26861290,5.886072,16.7300
2018-08-13,sz.000703,26176955,2.988643,17.2300
2018-08-14,sz.000703,22522312,1.218810,17.4400
2018-08-15,sz.000703,23814627,-2.809632,16.9500
2018-08-16,sz.000703,22860704,-0.825966,16.8100
2018-08-17,sz.000703,24592517,-3.628785,16.2000
2018-08-20,sz.000703,18821561,4.444440,16.9200
2018-08-21,sz.000703,22289724,1.359335,17.1500
2018-08-22,sz.000703,8969849,-1.924198,16.8200
2018-08-23,sz.000703,12621485,-0.832339,16.6800
2018-08-24,sz.000703,16967715,0.779371,16.8100
2018-08-27,sz.000703,26213282,0.297449,16.8600
2018-08-28,sz.000703,43868654,4.982207,17.7000
2018-08-29,sz.000703,18448175,-1.299443,17.4700
2018-08-30,sz.000703,17828604,-3.892378,16.7900
2018-08-31,sz.000703,12548529,-0.059561,16.7800
2018-09-03,sz.000703,10982303,-0.595950,16.6800
2018-09-04,sz.000703,17365326,-0.119907,16.6600
2018-09-05,sz.000703,10613418,-2.821124,16.1900
2018-09-06,sz.000703,13434987,0.123524,16.2100
2018-09-07,sz.000703,8496378,0.185075,16.2400
2018-09-10,sz.000703,11491954,-0.800488,16.1100
2018-09-11,sz.000703,25154888,-1.862198,15.8100
2018-09-12,sz.000703,21977163,-0.253004,15.7700
2018-09-13,sz.000703,9695419,0.000000,15.7700
2018-09-14,sz.000703,10513041,0.760938,15.8900
2018-09-17,sz.000703,12509495,-0.943994,15.7400
2018-09-18,sz.000703,11073992,-0.508259,15.6600
2018-09-19,sz.000703,18934884,-0.191569,15.6300
2018-09-20,sz.000703,32638966,3.710806,16.2100
2018-09-21,sz.000703,24457206,4.071572,16.8700
2018-09-25,sz.000703,16759862,0.177823,16.9000
2018-09-26,sz.000703,16552774,2.366862,17.3000
2018-09-27,sz.000703,14109066,-3.063577,16.7700
2018-09-28,sz.000703,9830026,1.073347,16.9500
2018-10-08,sz.000703,33771740,-2.772868,16.4800
2018-10-09,sz.000703,10746006,0.000000,16.4800
2018-10-10,sz.000703,17629514,-1.092235,16.3000
2018-10-11,sz.000703,28946648,-3.803674,15.6800
2018-10-12,sz.000703,18946451,0.063771,15.6900
2018-10-15,sz.000703,30529128,-2.549392,15.2900
2018-10-16,sz.000703,19011916,-3.662527,14.7300
2018-10-17,sz.000703,17889282,-0.475219,14.6600
2018-10-18,sz.000703,18338264,-10.027290,13.1900
2018-10-19,sz.000703,122287295,5.307057,13.8900
2018-10-22,sz.000703,87635900,1.151907,14.0500
2018-10-23,sz.000703,39128414,-3.914592,13.5000
2018-10-24,sz.000703,37450743,-5.407404,12.7700
2018-10-25,sz.000703,0,0.000000,12.7700
2018-10-26,sz.000703,0,0.000000,12.7700
2018-10-29,sz.000703,0,0.000000,12.7700
2018-10-30,sz.000703,0,0.000000,12.7700
2018-10-31,sz.000703,0,0.000000,12.7700
2018-11-01,sz.000703,0,0.000000,12.7700
2018-11-02,sz.000703,53954842,6.969455,13.6600
2018-11-05,sz.000703,30636167,-1.903369,13.4000
2018-11-06,sz.000703,32120307,-2.985072,13.0000
2018-11-07,sz.000703,29390313,-4.538463,12.4100
2018-11-08,sz.000703,19143104,0.886387,12.5200
2018-11-09,sz.000703,16296980,1.437694,12.7000
2018-11-12,sz.000703,16047199,0.551186,12.7700
2018-11-13,sz.000703,22984222,1.566169,12.9700
2018-11-14,sz.000703,19024752,-1.387820,12.7900
2018-11-15,sz.000703,11352556,0.390932,12.8400
2018-11-16,sz.000703,18666691,1.090338,12.9800
2018-11-19,sz.000703,21239785,3.235748,13.4000
2018-11-20,sz.000703,18534516,-3.582086,12.9200
2018-11-21,sz.000703,18081720,-1.160988,12.7700
2018-11-22,sz.000703,8071579,-2.114334,12.5000
2018-11-23,sz.000703,15742400,-3.519997,12.0600
2018-11-26,sz.000703,27894834,-5.389723,11.4100
2018-11-27,sz.000703,11278915,0.876428,11.5100
2018-11-28,sz.000703,13779487,1.129454,11.6400
2018-11-29,sz.000703,17297064,-3.006876,11.2900
2018-11-30,sz.000703,18683830,3.720107,11.7100
2018-12-03,sz.000703,25382295,6.063194,12.4200
2018-12-04,sz.000703,15950513,1.368761,12.5900
2018-12-05,sz.000703,12775158,-1.667991,12.3800
2018-12-06,sz.000703,11349170,-3.069468,12.0000
2018-12-07,sz.000703,13292828,3.166668,12.3800
2018-12-10,sz.000703,11060393,-1.373183,12.2100
2018-12-11,sz.000703,12998538,1.474204,12.3900
2018-12-12,sz.000703,18076459,1.775620,12.6100
2018-12-13,sz.000703,17214774,0.079304,12.6200
2018-12-14,sz.000703,18188326,0.713155,12.7100
2018-12-17,sz.000703,18674038,-4.012590,12.2000
2018-12-18,sz.000703,10887142,0.491807,12.2600
2018-12-19,sz.000703,15706901,-2.936383,11.9000
2018-12-20,sz.000703,9133300,0.840339,12.0000
2018-12-21,sz.000703,12187007,-1.416667,11.8300
2018-12-24,sz.000703,7449318,-0.760779,11.7400
2018-12-25,sz.000703,11610661,-1.959110,11.5100
2018-12-26,sz.000703,9998772,-0.173766,11.4900
2018-12-27,sz.000703,14075692,0.261103,11.5200
2018-12-28,sz.000703,11570494,0.000000,11.5200
2019-01-02,sz.000703,8204007,-0.173615,11.5000
2019-01-03,sz.000703,7833739,-0.608693,11.4300
2019-01-04,sz.000703,11967722,1.924753,11.6500
2019-01-07,sz.000703,17183147,4.377685,12.1600
2019-01-08,sz.000703,10893678,2.220399,12.4300
2019-01-09,sz.000703,15621012,1.689461,12.6400
2019-01-10,sz.000703,10232060,-0.079116,12.6300
2019-01-11,sz.000703,21216106,-1.583530,12.4300
2019-01-14,sz.000703,7869134,-0.643604,12.3500
2019-01-15,sz.000703,10611217,1.295545,12.5100
2019-01-16,sz.000703,6983699,-1.039170,12.3800
2019-01-17,sz.000703,6722023,-0.807758,12.2800
2019-01-18,sz.000703,17158818,2.280136,12.5600
2019-01-21,sz.000703,20604177,3.264330,12.9700
2019-01-22,sz.000703,12544510,-1.079417,12.8300
2019-01-23,sz.000703,20877496,1.325020,13.0000
2019-01-24,sz.000703,10769248,-1.538460,12.8000
2019-01-25,sz.000703,11578229,-2.265625,12.5100
2019-01-28,sz.000703,8002557,0.399682,12.5600
2019-01-29,sz.000703,8491910,0.318471,12.6000
2019-01-30,sz.000703,11626415,1.984127,12.8500
2019-01-31,sz.000703,14251449,0.622568,12.9300
2019-02-01,sz.000703,6931509,0.386692,12.9800
2019-02-11,sz.000703,7523400,0.462253,13.0400
2019-02-12,sz.000703,14186307,3.757667,13.5300
2019-02-13,sz.000703,11197958,-0.665190,13.4400
2019-02-14,sz.000703,10912271,1.636907,13.6600
2019-02-15,sz.000703,9685767,-1.610544,13.4400
2019-02-18,sz.000703,11713281,1.636907,13.6600
2019-02-19,sz.000703,9850235,-1.098094,13.5100
2019-02-20,sz.000703,7287652,-0.592153,13.4300
2019-02-21,sz.000703,9875556,-1.563664,13.2200
2019-02-22,sz.000703,8560532,1.815429,13.4600
2019-02-25,sz.000703,18095422,3.640414,13.9500
2019-02-26,sz.000703,16901872,-1.362004,13.7600
2019-02-27,sz.000703,12093745,-0.072676,13.7500
2019-02-28,sz.000703,11911086,1.090906,13.9000
2019-03-01,sz.000703,9561043,-1.079134,13.7500
2019-03-04,sz.000703,15370637,0.509089,13.8200
2019-03-05,sz.000703,10393465,1.157741,13.9800
2019-03-06,sz.000703,16295014,1.359088,14.1700
2019-03-07,sz.000703,21453421,-0.846859,14.0500
